UniProt ID,Gene,Protein name
P24385,CCND1,G1/S-specific cyclin-D1
Q8N2Z9,CENPS,Centromere protein S
P11308,ERG,Transcriptional regulator ERG
Q9UI08,EVL,Ena/VASP-like protein
Q9UH90,FBXO40,F-box only protein 40
P57764,GSDMD,Gasdermin-D
Q9UQL6,HDAC5,Histone deacetylase 5
P01574,IFNB1,Interferon beta
K9M1U5,IFNL4,Interferon lambda-4
Q14626,IL11RA,Interleukin-11 receptor subunit alpha
Q5VVH5,IRAK1BP1,Interleukin-1 receptor-associated kinase 1-binding protein 1
Q08493,PDE4C,3'
A5LHX3,PSMB11,Proteasome subunit beta type-11
Q9Y572,RIPK3,Receptor-interacting serine/threonine-protein kinase 3
Q8IUD6,RNF135,E3 ubiquitin-protein ligase RNF135
P62987,UBA52,Ubiquitin-ribosomal protein eL40 fusion protein
Q96LR5,UBE2E2,Ubiquitin-conjugating enzyme E2 E2
P08319,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4
O43823,AKAP8,A-kinase anchor protein 8
Q9UM73,ALK,ALK tyrosine kinase receptor
Q92974,ARHGEF2,Rho guanine nucleotide exchange factor 2
P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1
P61421,ATP6V0D1,V-type proton ATPase subunit d 1
P56817,BACE1,Beta-secretase 1
Q6UXG8,BTNL9,Butyrophilin-like protein 9
Q49A92,C8orf34,Uncharacterized protein C8orf34
A8K4G0,CD300LB,CMRF35-like molecule 7
P17676,CEBPB,CCAAT/enhancer-binding protein beta
P20309,CHRM3,Muscarinic acetylcholine receptor M3
Q9Y4C5,CHST2,Carbohydrate sulfotransferase 2
P09496,CLTA,Clathrin light chain A
Q9NQC7,CYLD,Ubiquitin carboxyl-terminal hydrolase CYLD
Q9NR30,DDX21,Nucleolar RNA helicase 2
Q8IY21,DDX60,Probable ATP-dependent RNA helicase DDX60
Q9H2U1,DHX36,ATP-dependent DNA/RNA helicase DHX36
Q13409,DYNC1I2,Cytoplasmic dynein 1 intermediate chain 2
Q9BQ95,ECSIT,Evolutionarily conserved signaling intermediate in Toll pathway
P24530,EDNRB,Endothelin receptor type B
P17677,GAP43,Neuromodulin
Q9H0R5,GBP3,Guanylate-binding protein 3
P35367,HRH1,Histamine H1 receptor
P06239,LCK,Tyrosine-protein kinase Lck
P29376,LTK,Leukocyte tyrosine kinase receptor
Q9Y5Q3,MAFB,Transcription factor MafB
Q9BPZ7,MAPKAP1,Target of rapamycin complex 2 subunit MAPKAP1
Q06413,MEF2C,Myocyte-specific enhancer factor 2C
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase
Q12965,MYO1E,Unconventional myosin-Ie
Q6ZNJ1,NBEAL2,Neurobeachin-like protein 2
A8MVU1_P14598,NCF1C_NCF1,Neutrophil cytosol factor 1/1C
O14931,NCR3,Natural cytotoxicity triggering receptor 3
P12004,PCNA,Proliferating cell nuclear antigen
P19174,PLCG1,1-phosphatidylinositol 4
O60260,PRKN,E3 ubiquitin-protein ligase parkin
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11
Q15678,PTPN14,Tyrosine-protein phosphatase non-receptor type 14
Q63HN8,RNF213,E3 ubiquitin-protein ligase RNF213
P34925,RYK,Tyrosine-protein kinase RYK
P31040,SDHA,Succinate dehydrogenase [ubiquinone] flavoprotein subunit
Q5VUM1,SDHAF4,Succinate dehydrogenase assembly factor 4
P55735,SEC13,Protein SEC13 homolog
Q9BRV8,SIKE1,Suppressor of IKBKE 1
P51532,SMARCA4,Transcription activator BRG1
Q9HCE7,SMURF1,E3 ubiquitin-protein ligase SMURF1
P16150,SPN,Leukosialin
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase
P63165,SUMO1,Small ubiquitin-related modifier 1
Q13148,TARDBP,TAR DNA-binding protein 43
P19484,TFEB,Transcription factor EB
Q8WV44,TRIM41,E3 ubiquitin-protein ligase TRIM41
Q99576,TSC22D3,TSC22 domain family protein 3
O94941,UBOX5,RING finger protein 37
Q8IWV8,UBR2,E3 ubiquitin-protein ligase UBR2
Q9P1Q0,VPS54,Vacuolar protein sorting-associated protein 54
Q8IV63,VRK3,Serine/threonine-protein kinase VRK3
Q8IUB2,WFDC3,WAP four-disulfide core domain protein 3
A2A288,ZC3H12D,Probable ribonuclease ZC3H12D
P09110,ACAA1,3-ketoacyl-CoA thiolase
P15309,ACP3,Prostatic acid phosphatase
Q96HD9,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
O43184,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12
Q86Y34,ADGRG3,Adhesion G protein-coupled receptor G3
Q8N4X5,AFAP1L2,Actin filament-associated protein 1-like 2
P55008,AIF1,Allograft inflammatory factor 1
Q9Y243,AKT3,RAC-gamma serine/threonine-protein kinase
P09923,ALPI,Intestinal-type alkaline phosphatase
Q9BTT0,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E
P19801,AOC1,Diamine oxidase [copper-containing]
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B
O95260,ATE1,Arginyl-tRNA--protein transferase 1
P15336,ATF2,Cyclic AMP-dependent transcription factor ATF-2
O75787,ATP6AP2,Renin receptor
Q16864,ATP6V1F,V-type proton ATPase subunit F
O95429,BAG4,BAG family molecular chaperone regulator 4
Q9UQB8,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2
Q07812,BAX,Apoptosis regulator BAX
Q5TBC7,BCL2L15,Bcl-2-like protein 15
P21810,BGN,Biglycan
P25440,BRD2,Bromodomain-containing protein 2
P35070,BTC,Probetacellulin
Q7Z6A9,BTLA,B- and T-lymphocyte attenuator
Q16566,CAMK4,Calcium/calmodulin-dependent protein kinase type IV
P29466,CASP1,Caspase-1
P49662,CASP4,Caspase-4
P20810,CAST,Calpastatin
Q13191,CBLB,E3 ubiquitin-protein ligase CBL-B
P10747,CD28,T-cell-specific surface glycoprotein CD28
P40198,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5
P49715,CEBPA,CCAAT/enhancer-binding protein alpha
Q9UHN6,CEMIP2,Inactive cell surface hyaluronidase CEMIP2
Q9UPV0,CEP164,Centrosomal protein of 164 kDa
P0CG37,CFC1,Cryptic protein
Q9UEE9,CFDP1,Craniofacial development protein 1
P11229,CHRM1,Muscarinic acetylcholine receptor M1
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha
Q6EIG7,CLEC6A,C-type lectin domain family 6 member A
Q9BSW2,CRACR2A,EF-hand calcium-binding domain-containing protein 4B
P06850,CRH,Corticoliberin
P04141,CSF2,Granulocyte-macrophage colony-stimulating factor
P09919,CSF3,Granulocyte colony-stimulating factor
P48730,CSNK1D,Casein kinase I isoform delta
Q16619,CTF1,Cardiotrophin-1
Q9UJW0,DCTN4,Dynactin subunit 4
O00148,DDX39A,ATP-dependent RNA helicase DDX39A
O95786,RIGI,Antiviral innate immune response receptor RIG-I
O43583,DENR,Density-regulated protein
Q8TDB6,DTX3L,E3 ubiquitin-protein ligase DTX3L
Q14204,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1
Q9H223,EHD4,EH domain-containing protein 4
O60573,EIF4E2,Eukaryotic translation initiation factor 4E type 2
Q15370,ELOB,Elongin-B
Q8N8S7,ENAH,Protein enabled homolog
Q9Y2J2,EPB41L3,Band 4.1-like protein 3
P50548,ERF,ETS domain-containing transcription factor ERF
P03372,ESR1,Estrogen receptor
Q9NQT5,EXOSC3,Exosome complex component RRP40
Q96CS3,FAF2,FAS-associated factor 2
Q9NVF7,FBXO28,F-box only protein 28
P12319,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha
Q96P31,FCRL3,Fc receptor-like protein 3
P12034,FGF5,Fibroblast growth factor 5
P09769,FGR,Tyrosine-protein kinase Fgr
Q96AY3,FKBP10,Peptidyl-prolyl cis-trans isomerase FKBP10
Q5T1M5,FKBP15,FK506-binding protein 15
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3
Q04609,FOLH1,Glutamate carboxypeptidase 2
Q9UPW0,FOXJ3,Forkhead box protein J3
O43524,FOXO3,Forkhead box protein O3
P35637,FUS,RNA-binding protein FUS
Q96DB9,FXYD5,FXYD domain-containing ion transport regulator 5
Q9BQS8,FYCO1,FYVE and coiled-coil domain-containing protein 1
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3
P32456,GBP2,Guanylate-binding protein 2
P01275,GCG,Pro-glucagon
P39905,GDNF,Glial cell line-derived neurotrophic factor
P14136,GFAP,Glial fibrillary acidic protein
P55789,GFER,FAD-linked sulfhydryl oxidase ALR
P09211,GSTP1,Glutathione S-transferase P
Q9UKV0,HDAC9,Histone deacetylase 9
Q16665,HIF1A,Hypoxia-inducible factor 1-alpha
Q13151,HNRNPA0,Heterogeneous nuclear ribonucleoprotein A0
O60760,HPGDS,Hematopoietic prostaglandin D synthase
P01112,HRAS,GTPase HRas
Q96MM7,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2
P14625,HSP90B1,Endoplasmin
Q05084,ICA1,Islet cell autoantigen 1
P09914,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1
O14879,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3
P01579,IFNG,Interferon gamma
P22301,IL10,Interleukin-10
Q13651,IL10RA,Interleukin-10 receptor subunit alpha
P20809,IL11,Interleukin-11
P42701,IL12RB1,Interleukin-12 receptor subunit beta-1
P35225,IL13,Interleukin-13
Q13261,IL15RA,Interleukin-15 receptor subunit alpha
Q16552,IL17A,Interleukin-17A
Q9P0M4,IL17C,Interleukin-17C
Q8TAD2,IL17D,Interleukin-17D
Q96PD4,IL17F,Interleukin-17F
P01583,IL1A,Interleukin-1 alpha
P01584,IL1B,Interleukin-1 beta
Q9HB29,IL1RL2,Interleukin-1 receptor-like 2
P60568,IL2,Interleukin-2
Q9NYY1,IL20,Interleukin-20
Q9UHF4,IL20RA,Interleukin-20 receptor subunit alpha
Q8N6P7,IL22RA1,Interleukin-22 receptor subunit alpha-1
P14784,IL2RB,Interleukin-2 receptor subunit beta
Q8NI17,IL31RA,Interleukin-31 receptor subunit alpha
O95760,IL33,Interleukin-33
Q9NZH7,IL36B,Interleukin-36 beta
P26951,IL3RA,Interleukin-3 receptor subunit alpha
P05112,IL4,Interleukin-4
P15248,IL9,Interleukin-9
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1
Q96J02,ITCH,E3 ubiquitin-protein ligase Itchy homolog
P18564,ITGB6,Integrin beta-6
O76095,JTB,Protein JTB
Q8IZA0,KIAA0319L,Dyslexia-associated protein KIAA0319-like protein
O95239,KIF4A,Chromosome-associated kinesin KIF4A
Q92845,KIFAP3,Kinesin-associated protein 3
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1
O60662,KLHL41,Kelch-like protein 41
Q9NZS2,KLRF1,Killer cell lectin-like receptor subfamily F member 1
P13647,KRT5,Keratin
P15018,LIF,Leukemia inhibitory factor
Q8NHJ6,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4
Q32MZ4,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1
Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1
Q9NS15,LTBP3,Latent-transforming growth factor beta-binding protein 3
Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2
P10636,MAPT,Microtubule-associated protein tau
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein
Q7Z6M3,MILR1,Allergin-1
Q8NBR6,MINDY2,Ubiquitin carboxyl-terminal hydrolase MINDY-2
P46013,MKI67,Proliferation marker protein Ki-67
P45452,MMP13,Collagenase 3
P25325,MPST,3-mercaptopyruvate sulfurtransferase
Q9H3R2,MUC13,Mucin-13
Q8N307,MUC20,Mucin-20
Q03426,MVK,Mevalonate kinase
Q96A32,MYL11,Myosin regulatory light chain 11
P08590,MYL3,Myosin light chain 3
Q13459,MYO9B,Unconventional myosin-IXb
O60934,NBN,Nibrin
Q9NZQ3,NCKIPSD,NCK-interacting protein with SH3 domain
Q8N183,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
O75380,NDUFS6,NADH dehydrogenase [ubiquinone] iron-sulfur protein 6
Q7Z6G3,NECAB2,N-terminal EF-hand calcium-binding protein 2
P07196,NEFL,Neurofilament light polypeptide
Q12968,NFATC3,Nuclear factor of activated T-cells
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit
O00221,NFKBIE,NF-kappa-B inhibitor epsilon
Q12986,NFX1,Transcriptional repressor NF-X1
Q8N2Q7,NLGN1,Neuroligin-1
P29475,NOS1,Nitric oxide synthase 1
P35228,NOS2,Nitric oxide synthase
P29474,NOS3,Nitric oxide synthase 3
P15559,NQO1,NAD(P)H dehydrogenase [quinone] 1
Q99748,NRTN,Neurturin
Q9UKX7,NUP50,Nuclear pore complex protein Nup50
A1E959,ODAM,Odontogenic ameloblast-associated protein
Q9Y2J8,PADI2,Protein-arginine deiminase type-2
Q9UM07,PADI4,Protein-arginine deiminase type-4
Q13219,PAPPA,Pappalysin-1
P09874,PARP1,Poly [ADP-ribose] polymerase 1
Q96G03,PGM2,Phosphopentomutase
P06401,PGR,Progesterone receptor
Q9Y2I7,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase
O43164,PJA2,E3 ubiquitin-protein ligase Praja-2
O60240,PLIN1,Perilipin-1
Q8ND90,PNMA1,Paraneoplastic antigen Ma1
Q8TCS8,PNPT1,Polyribonucleotide nucleotidyltransferase 1
Q9H1D9,POLR3F,DNA-directed RNA polymerase III subunit RPC6
Q9UNP9,PPIE,Peptidyl-prolyl cis-trans isomerase E
Q9HCU5,PREB,Prolactin regulatory element-binding protein
Q9Y478,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
P31321,PRKAR1B,cAMP-dependent protein kinase type I-beta regulatory subunit
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
Q96M27,PRRC1,Protein PRRC1
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5
P60484,PTEN,Phosphatidylinositol 3
O75365,PTP4A3,Protein tyrosine phosphatase type IVA 3
P49023,PXN,Paxillin
Q96AX2,RAB37,Ras-related protein Rab-37
Q7Z6P3,RAB44,Ras-related protein Rab-44
Q5R372,RABGAP1L,Rab GTPase-activating protein 1-like
O60895,RAMP2,Receptor activity-modifying protein 2
P49792,RANBP2,E3 SUMO-protein ligase RanBP2
P47736,RAP1GAP,Rap1 GTPase-activating protein 1
A6NFN3,RBFOX3,RNA binding protein fox-1 homolog 3
Q5TC82,RC3H1,Roquin-1
P57771,RGS8,Regulator of G-protein signaling 8
Q96BH1,RNF25,E3 ubiquitin-protein ligase RNF25
Q9H4P4,RNF41,E3 ubiquitin-protein ligase NRDP1
Q9Y2J0,RPH3A,Rabphilin-3A
Q9H4B6,SAV1,Protein salvador homolog 1
Q8WTV0,SCARB1,Scavenger receptor class B member 1
O76038,SCGN,Secretagogin
P36952,SERPINB5,Serpin B5
Q8IWL1,SFTPA2,Pulmonary surfactant-associated protein A2
Q9UQQ2,SH2B3,SH2B adapter protein 3
Q96FS4,SIPA1,Signal-induced proliferation-associated protein 1
Q96EB6,SIRT1,NAD-dependent protein deacetylase sirtuin-1
Q9Y3P8,SIT1,Signaling threshold-regulating transmembrane adapter 1
Q9P0V8,SLAMF8,SLAM family member 8
P53985,SLC16A1,Monocarboxylate transporter 1
O94813,SLIT2,Slit homolog 2 protein
Q15797,SMAD1,Mothers against decapentaplegic homolog 1
Q15796,SMAD2,Mothers against decapentaplegic homolog 2
P60880,SNAP25,Synaptosomal-associated protein 25
Q8IUW3,SPATA2L,Spermatogenesis-associated protein 2-like protein
Q7Z698,SPRED2,Sprouty-related
O43597,SPRY2,Protein sprouty homolog 2
O15020,SPTBN2,Spectrin beta chain
P05455,SSB,Lupus La protein
Q13190,STX5,Syntaxin-5
O00186,STXBP3,Syntaxin-binding protein 3
Q9NYJ8,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
Q15633,TARBP2,RISC-loading complex subunit TARBP2
P13385,CRIPTO,Protein Cripto
P04183,TK1,Thymidine kinase
O60603,TLR2,Toll-like receptor 2
O00206,TLR4,Toll-like receptor 4
P01375,TNF,Tumor necrosis factor
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C
O95150,TNFSF15,Tumor necrosis factor ligand superfamily member 15
P04637,TP53,Cellular tumor antigen p53
Q12888,TP53BP1,TP53-binding protein 1
P51580,TPMT,Thiopurine S-methyltransferase
P12270,TPR,Nucleoprotein TPR
Q6P9F5,TRIM40,E3 ubiquitin ligase TRIM40
Q969D9,TSLP,Thymic stromal lymphopoietin
P04818,TYMS,Thymidylate synthase
Q9H832,UBE2Z,Ubiquitin-conjugating enzyme E2 Z
P42768,WAS,Actin nucleation-promoting factor WAS
O00401,WASL,Actin nucleation-promoting factor WASL
O14904,WNT9A,Protein Wnt-9a
P98170,XIAP,E3 ubiquitin-protein ligase XIAP
Q05516,ZBTB16,Zinc finger and BTB domain-containing protein 16
Q5D1E8,ZC3H12A,Endoribonuclease ZC3H12A
Q7Z7G0,ABI3BP,Target of Nesh-SH3
P00519,ABL1,Tyrosine-protein kinase ABL1
Q9BYF1,ACE2,Angiotensin-converting enzyme 2
P24666,ACP1,Low molecular weight phosphotyrosine protein phosphatase
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6
P26436,ACRV1,Acrosomal protein SP-10
P37023,ACVRL1,Serine/threonine-protein kinase receptor R3
P00813,ADA,Adenosine deaminase
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15
Q9P0K1,ADAM22,Disintegrin and metalloproteinase domain-containing protein 22
